length;mse;model
6;98346483.38348207;((((0.8473305702 * X1) ^ 2) + ((-0.7379882336) * X2)) + (0.1497063190 * X1))
4;101523438.23057425;(((-0.7489578724) * X2) + ((0.8542266488 * X1) ^ 2))
2;14.700703864530524;exp(((-0.0638573319) * X2))
3;inf;exp((((-0.4242863059) * X1) ^ 2))
10;83002662.9657754;((((0.1366425902 * X1) + ((-0.0135039194) * X2)) + 2.3309178352) + ((((-0.8121482730) * X1) ^ 2) + ((-0.6611548066) * X2)))
1;6.9135248038917965;2.6604208946
9;inf;((exp((0.1497063190 * X1)) + ((-0.0509501994) * X2)) + (((0.8492302299 * X1) ^ 2) + ((-0.6961361766) * X2)))
8;99651291.9719982;(((0.1514078081 * X1) + ((-0.0592573509) * X2)) + (((-0.6805386543) * X2) + ((0.8501264453 * X1) ^ 2)))
7;inf;((((-0.7489578724) * X2) + ((0.8501264453 * X1) ^ 2)) + exp((0.1514078081 * X1)))
6;98316575.82794757;((((0.8472660184 * X1) ^ 2) + ((-0.7379882336) * X2)) + (0.1497063190 * X1))
4;99168814.34119427;(((-0.7234944701) * X2) + ((0.8492302299 * X1) ^ 2))
2;14.46444418875541;exp(((-0.1081663221) * X2))
3;inf;exp(((0.4270737171 * X1) ^ 2))
10;1.184914573674872e+31;((1.4539726973 ^ (2.2610020638 + (0.1551817507 * X1))) + ((((-0.8099093437) * X1) ^ 2) + ((-0.6746487021) * X2)))
1;4.47740217977415;4.6208095551
9;inf;((exp((0.1497063190 * X1)) + ((-0.0509501994) * X2)) + (((0.8469730616 * X1) ^ 2) + ((-0.6961361766) * X2)))
8;99231156.7776428;(((0.1497063190 * X1) + ((-0.0592573509) * X2)) + (((-0.6805386543) * X2) + ((0.8492302299 * X1) ^ 2)))
7;inf;((((-0.7489578724) * X2) + ((0.8501954675 * X1) ^ 2)) + exp((0.1514078081 * X1)))
6;97442084.8586445;(((((-0.8453751802) * X1) ^ 2) + ((-0.7277979851) * X2)) + (0.1497063190 * X1))
4;99620476.50565422;(((0.8501954675 * X1) ^ 2) + ((-0.7249698639) * X2))
2;14.707961186197881;exp(((-0.0623998009) * X2))
3;inf;exp((((-0.4282285869) * X1) ^ 2))
10;100190043.57235377;((((-0.6746463180) * X2) + ((0.8096993566 * X1) ^ 2)) + (((1.2356103659 + (0.0180882774 * X1)) ^ 2) ^ 2))
1;7.4948395138738535;2.4881942272
9;inf;((exp((0.1497063190 * X1)) + ((-0.0509501994) * X2)) + (((0.8469142914 * X1) ^ 2) + ((-0.6961361766) * X2)))
8;97988753.73061125;(((0.1497063190 * X1) + ((-0.0509501994) * X2)) + (((-0.6805386543) * X2) + ((0.8465587497 * X1) ^ 2)))
7;inf;((((0.8433291316 * X1) ^ 2) + ((-0.7379882336) * X2)) + exp((0.1497063190 * X1)))
6;98180696.83730866;((((0.8469730616 * X1) ^ 2) + ((-0.7379882336) * X2)) + (0.1497063190 * X1))
4;98284439.11263847;(((0.8473305702 * X1) ^ 2) + ((-0.7379882336) * X2))
2;14.452172847755374;exp(((-0.1103213280) * X2))
3;inf;exp(((0.4325053692 * X1) ^ 2))
10;100190043.57235426;((((0.8096993566 * X1) ^ 2) + ((-0.6746540666) * X2)) + (((1.2356103659 + (0.0180882774 * X1)) ^ 2) ^ 2))
1;5.211132560213632;3.3332381248
9;inf;((exp((0.1344863027 * X1)) + (1.3309551477 + ((-0.6745916009) * X2))) + ((0.8079563379 * X1) ^ 2))
8;99650581.70089345;(((0.1497063190 * X1) + ((-0.0592573509) * X2)) + (((0.8501264453 * X1) ^ 2) + ((-0.6776304245) * X2)))
7;inf;((((0.8434983492 * X1) ^ 2) + ((-0.7379882336) * X2)) + exp((0.1497063190 * X1)))
6;98153457.90705864;((((0.8469142914 * X1) ^ 2) + ((-0.7379882336) * X2)) + (0.1497063190 * X1))
4;99324520.06641448;(((-0.7234944701) * X2) + ((0.8495633602 * X1) ^ 2))
2;14.718264950992635;exp(((-0.0603191853) * X2))
3;inf;exp(((0.4331322312 * X1) ^ 2))
10;inf;((1.3653326035 ^ exp(exp((0.0662878901 * X1)))) + (((-0.6744704247) * X2) + (((-0.8041266203) * X1) ^ 2)))
1;4.4012202366079896;4.4912919998
9;inf;((exp((0.1497063190 * X1)) + ((-0.0509501994) * X2)) + ((((-0.8467670083) * X1) ^ 2) + ((-0.6961361766) * X2)))
8;99682960.7255788;(((0.1497063190 * X1) + ((-0.0592573509) * X2)) + (((0.8501954675 * X1) ^ 2) + ((-0.6776304245) * X2)))
7;inf;((((0.8436821103 * X1) ^ 2) + ((-0.7379882336) * X2)) + exp((0.1497063190 * X1)))
6;98347188.99071302;((((0.8473305702 * X1) ^ 2) + ((-0.7379882336) * X2)) + (0.1514078081 * X1))
4;98118704.89198777;(((0.8469730616 * X1) ^ 2) + ((-0.7379882336) * X2))
2;14.44516316811591;exp(((-0.1115465909) * X2))
3;inf;exp(((0.4342944920 * X1) ^ 2))
10;8.099874814244324e+30;((1.4539726973 ^ (2.2610020638 + (0.1544127613 * X1))) + (((0.8096993566 * X1) ^ 2) + ((-0.6746487021) * X2)))
1;4.733723523938621;3.6413874626
9;inf;((exp((0.1497063190 * X1)) + ((-0.0509501994) * X2)) + (((0.8495633602 * X1) ^ 2) + ((-0.6961361766) * X2)))
