length;mse;model
5;inf;exp(((0.0137454271 * X1) * exp(((-0.2697230279) * X2))))
14;nan;((0.2933468819 * X1) + ((((((-0.0589013658) * X1) * (0.7282894254 * X1)) * (1.3827095032 * X1)) + (2.6010987759 * X1)) * (exp(((-0.2835082412) * X2)) + ((-0.0220190920) * X2))))
20;nan;(7.2350196838 + ((((exp((0.9545415640 * X2)) + ((((-8.9077968597) * X1) + exp((0.2618681490 * X2))) * (0.3790642023 * X1))) * (0.0164508503 * X1)) + (2.7862999439 * X1)) * (exp((0.1355414540 * X2)) + ((-0.3665064871) * X2))))
1;9.064037291818735;8.0377616882
12;inf;(((2.8292748928 * X1) * exp(((-0.3738808334) * X2))) * ((((-0.0305086914) * X1) * (0.7353974581 * X1)) + (1.0307340622 + (0.0958823487 * X2))))
18;nan;((((exp((0.9545415640 * X2)) + ((((-8.9077968597) * X1) + exp((0.2618681490 * X2))) * (0.3790642023 * X1))) * (0.0164508503 * X1)) + (2.7862999439 * X1)) * (exp((0.1355252117 * X2)) + ((-0.3664472103) * X2)))
9;inf;(exp((((-0.0233585816) * X1) * (1.0505617857 * X1))) * ((2.0463860035 * X1) * exp(((-0.2742309570) * X2))))
8;nan;(((-0.9227771759) * X1) * (log(abs(log(abs(((-0.0250350088) * X1))))) * exp(((-0.2759695649) * X2))))
10;nan;((((((-0.0517859384) * X1) * (0.7341285944 * X1)) * (1.3708856106 * X1)) + (2.8285975456 * X1)) * exp(((-0.2701213360) * X2)))
11;inf;((0.0249172412 * X1) * (exp(((-0.3025172353) * X2)) + (((-0.0361370556) * X1) * (exp(((-0.3941689134) * X2)) * (0.5921862125 * X1)))))
5;inf;exp(((0.0018202404 * X1) * exp(((-0.2740367651) * X2))))
4;1.9691320537521982e+69;((0.0249172412 * X1) * exp(((-0.2754127681) * X2)))
3;29.034697357444895;exp(exp(((-0.0032117500) * X1)))
2;47.505193615754145;exp(((-0.0073548104) * X1))
15;nan;((((exp((0.9521970153 * X2)) + (((-1.2584221363) * X1) * (2.6666164398 * X1))) * (0.0165552683 * X1)) + (2.7777338028 * X1)) * (exp((0.1357906014 * X2)) + ((-0.3671687245) * X2)))
7;nan;(((-0.9283998013) * X1) * (log(abs(((-0.0307196695) * X1))) * exp(((-0.2740367055) * X2))))
17;nan;(7.2350196838 + ((((exp((0.9545415640 * X2)) + (((-1.2584221363) * X1) * (2.6666164398 * X1))) * (0.0164508503 * X1)) + (2.7862999439 * X1)) * (exp((0.1356069744 * X2)) + ((-0.3666882515) * X2))))
16;47.34986976450308;exp(((0.0087775951 * X1) * ((exp(((-0.2405882031) * X2)) + (((-0.0332634524) * X1) * ((exp(((-0.2154869139) * X2)) + ((-0.0393074155) * X2)) * (0.5921862125 * X1)))) + ((-0.0149834342) * X2))))
13;inf;((0.0087775951 * X1) * (((0.0079055270 * X1) * ((((-2.7327327728) * X1) + (0.2609191537 * X2)) * exp(((-0.3941689134) * X2)))) + exp(((-0.3039087951) * X2))))
6;nan;((log(abs(((-0.0010346028) * X1))) + (0.7377799153 * X2)) * ((-0.2796244621) * X1))
14;nan;((0.2933468819 * X1) + ((((((-0.0589013658) * X1) * (0.7282894254 * X1)) * (1.3827095032 * X1)) + (2.6010987759 * X1)) * (exp(((-0.2798036635) * X2)) + ((-0.0223271735) * X2))))
20;nan;(7.2363891602 + ((((exp((0.9514037371 * X2)) + ((((-9.9531908035) * X1) + exp((0.2879980505 * X2))) * (0.3341090381 * X1))) * (0.0166978780 * X1)) + (2.7855606079 * X1)) * (exp((0.1356152892 * X2)) + ((-0.3666895628) * X2))))
1;8.542216683822902;7.5763144493
12;inf;(((2.8292748928 * X1) * exp(((-0.3773337901) * X2))) * ((((-0.0300624706) * X1) * (0.7341285944 * X1)) + (1.0307340622 + (0.0958823487 * X2))))
18;nan;((((exp((0.9545415640 * X2)) + ((((-8.9077968597) * X1) + exp((0.2618681490 * X2))) * (0.3790642023 * X1))) * (0.0164508503 * X1)) + (2.7862999439 * X1)) * (exp((0.1352599263 * X2)) + ((-0.3657699823) * X2)))
9;inf;(exp((((-0.0233585816) * X1) * (1.0505617857 * X1))) * ((2.1372265816 * X1) * exp(((-0.2740367651) * X2))))
8;nan;(log(abs(log(abs(((-0.0307196695) * X1))))) * ((2.9214611053 * X1) * exp(((-0.2697230279) * X2))))
10;47.33861658497425;exp(((0.0087775951 * X1) * (exp((((-0.0233585816) * X1) * (1.0505617857 * X1))) * exp(((-0.2754127681) * X2)))))
11;inf;((exp((0.0758366957 * X2)) + (((-0.0308879260) * X1) * (0.6851285100 * X1))) * ((2.9160852432 * X1) * exp(((-0.3738808334) * X2))))
5;inf;exp(((0.0087775951 * X1) * exp(((-0.2808545530) * X2))))
4;inf;((2.0463860035 * X1) * exp(((-0.2755359709) * X2)))
3;47.43750241312415;sqrt(exp(((-0.0050863535) * X1)))
2;47.43728717050612;exp(((-0.0025281110) * X1))
15;nan;((((exp((0.9521970153 * X2)) + (((-1.2584221363) * X1) * (2.6666164398 * X1))) * (0.0165552683 * X1)) + (2.7777338028 * X1)) * (exp((0.1347460896 * X2)) + ((-0.3645976484) * X2)))
7;nan;(((-0.9227771759) * X1) * (log(abs(((-0.0307196695) * X1))) * exp(((-0.2718899846) * X2))))
17;nan;(7.2368855476 + ((((exp((0.9521970153 * X2)) + (((-1.2584221363) * X1) * (2.6666164398 * X1))) * (0.0165552683 * X1)) + (2.7777338028 * X1)) * (exp((0.1357906014 * X2)) + ((-0.3671687245) * X2))))
16;47.34993431341008;exp(((0.0087775951 * X1) * ((exp(((-0.2405882031) * X2)) + (((-0.0332634524) * X1) * ((exp(((-0.2141011804) * X2)) + ((-0.0393074155) * X2)) * (0.5921862125 * X1)))) + ((-0.0149834342) * X2))))
13;inf;((0.0087775951 * X1) * (((0.0079055270 * X1) * ((((-2.7327327728) * X1) + (0.2609191537 * X2)) * exp(((-0.3941689134) * X2)))) + exp(((-0.3025172353) * X2))))
6;nan;(((-0.2735675573) * X1) * (log(abs(((-0.0008883188) * X1))) + (0.7552962303 * X2)))
14;nan;((0.2933468819 * X1) + ((((((-0.0589013658) * X1) * (0.7282894254 * X1)) * (1.3827095032 * X1)) + (2.6010987759 * X1)) * (exp(((-0.2808545530) * X2)) + ((-0.0220190920) * X2))))
